Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 6.75000%
Time:    4.29 sec, Epoch:    2, Testing error: 4.47000%
Time:    8.36 sec, Epoch:    3, Testing error: 3.90000%
Time:   12.43 sec, Epoch:    4, Testing error: 3.68000%
Time:   16.50 sec, Epoch:    5, Testing error: 3.31000%
Time:   20.57 sec, Epoch:    6, Testing error: 3.15000%
Time:   24.64 sec, Epoch:    7, Testing error: 3.09000%
Time:   28.71 sec, Epoch:    8, Testing error: 2.91000%
Time:   32.78 sec, Epoch:    9, Testing error: 2.96000%
Time:   36.85 sec, Epoch:   10, Testing error: 2.82000%
Time:   40.92 sec, Epoch:   11, Testing error: 2.71000%
Time:   45.00 sec, Epoch:   12, Testing error: 3.02000%
Time:   49.07 sec, Epoch:   13, Testing error: 2.45000%
Time:   53.14 sec, Epoch:   14, Testing error: 2.73000%
Time:   57.21 sec, Epoch:   15, Testing error: 2.40000%
Time:   61.28 sec, Epoch:   16, Testing error: 2.54000%
Time:   65.35 sec, Epoch:   17, Testing error: 2.34000%
Time:   69.42 sec, Epoch:   18, Testing error: 2.59000%
Time:   73.49 sec, Epoch:   19, Testing error: 2.64000%
Time:   77.56 sec, Epoch:   20, Testing error: 2.51000%
Time:   81.62 sec, Epoch:   21, Testing error: 2.49000%
Time:   85.68 sec, Epoch:   22, Testing error: 2.45000%
Time:   89.75 sec, Epoch:   23, Testing error: 2.21000%
Time:   93.82 sec, Epoch:   24, Testing error: 2.37000%
Time:   97.89 sec, Epoch:   25, Testing error: 2.29000%
Time:  101.96 sec, Epoch:   26, Testing error: 2.36000%
Time:  106.03 sec, Epoch:   27, Testing error: 2.37000%
Time:  110.12 sec, Epoch:   28, Testing error: 2.32000%
Time:  114.19 sec, Epoch:   29, Testing error: 2.37000%
Time:  118.26 sec, Epoch:   30, Testing error: 2.36000%
Time:  122.33 sec, Epoch:   31, Testing error: 2.40000%
Time:  126.44 sec, Epoch:   32, Testing error: 2.64000%
Time:  130.60 sec, Epoch:   33, Testing error: 2.20000%
Time:  134.71 sec, Epoch:   34, Testing error: 2.29000%
Time:  138.79 sec, Epoch:   35, Testing error: 2.07000%
Time:  142.86 sec, Epoch:   36, Testing error: 2.17000%
Time:  146.93 sec, Epoch:   37, Testing error: 2.20000%
Time:  151.00 sec, Epoch:   38, Testing error: 2.23000%
Time:  155.07 sec, Epoch:   39, Testing error: 2.16000%
Time:  159.15 sec, Epoch:   40, Testing error: 2.32000%
Time:  163.22 sec, Epoch:   41, Testing error: 2.10000%
Time:  167.29 sec, Epoch:   42, Testing error: 2.28000%
Time:  171.36 sec, Epoch:   43, Testing error: 2.15000%
Time:  175.43 sec, Epoch:   44, Testing error: 2.03000%
Time:  179.50 sec, Epoch:   45, Testing error: 2.13000%
Time:  183.58 sec, Epoch:   46, Testing error: 2.30000%
Time:  187.65 sec, Epoch:   47, Testing error: 2.20000%
Time:  191.72 sec, Epoch:   48, Testing error: 2.07000%
Time:  195.79 sec, Epoch:   49, Testing error: 2.23000%
Time:  199.86 sec, Epoch:   50, Testing error: 2.09000%
Time:  203.93 sec, Epoch:   51, Testing error: 2.26000%
Time:  208.01 sec, Epoch:   52, Testing error: 1.98000%
Time:  212.09 sec, Epoch:   53, Testing error: 2.20000%
Time:  216.18 sec, Epoch:   54, Testing error: 2.12000%
Time:  220.26 sec, Epoch:   55, Testing error: 2.12000%
Time:  224.34 sec, Epoch:   56, Testing error: 2.07000%
Time:  228.42 sec, Epoch:   57, Testing error: 2.23000%
Time:  232.50 sec, Epoch:   58, Testing error: 2.06000%
Time:  236.59 sec, Epoch:   59, Testing error: 2.07000%
Time:  240.67 sec, Epoch:   60, Testing error: 2.19000%
Time:  244.76 sec, Epoch:   61, Testing error: 2.13000%
Time:  248.84 sec, Epoch:   62, Testing error: 2.08000%
Time:  252.92 sec, Epoch:   63, Testing error: 2.06000%
Time:  257.00 sec, Epoch:   64, Testing error: 2.14000%
Time:  261.09 sec, Epoch:   65, Testing error: 2.08000%
Time:  265.18 sec, Epoch:   66, Testing error: 1.98000%
Time:  269.26 sec, Epoch:   67, Testing error: 2.40000%
Time:  273.34 sec, Epoch:   68, Testing error: 2.10000%
Time:  277.43 sec, Epoch:   69, Testing error: 2.12000%
Time:  281.51 sec, Epoch:   70, Testing error: 2.02000%
Time:  285.59 sec, Epoch:   71, Testing error: 2.12000%
Time:  289.67 sec, Epoch:   72, Testing error: 2.06000%
Time:  293.76 sec, Epoch:   73, Testing error: 2.22000%
Time:  297.84 sec, Epoch:   74, Testing error: 2.07000%
Time:  301.92 sec, Epoch:   75, Testing error: 2.09000%
Time:  306.00 sec, Epoch:   76, Testing error: 1.96000%
Time:  310.09 sec, Epoch:   77, Testing error: 2.12000%
Time:  314.16 sec, Epoch:   78, Testing error: 2.01000%
Time:  318.25 sec, Epoch:   79, Testing error: 1.93000%
Time:  322.33 sec, Epoch:   80, Testing error: 1.94000%
Time:  326.41 sec, Epoch:   81, Testing error: 1.98000%
Time:  330.53 sec, Epoch:   82, Testing error: 2.11000%
Time:  334.61 sec, Epoch:   83, Testing error: 2.01000%
Time:  338.69 sec, Epoch:   84, Testing error: 2.11000%
Time:  342.76 sec, Epoch:   85, Testing error: 1.84000%
Time:  346.83 sec, Epoch:   86, Testing error: 1.89000%
Time:  350.89 sec, Epoch:   87, Testing error: 2.00000%
Time:  354.95 sec, Epoch:   88, Testing error: 2.03000%
Time:  359.01 sec, Epoch:   89, Testing error: 2.31000%
Time:  363.09 sec, Epoch:   90, Testing error: 2.00000%
Time:  367.16 sec, Epoch:   91, Testing error: 2.18000%
Time:  371.28 sec, Epoch:   92, Testing error: 1.86000%
Time:  375.34 sec, Epoch:   93, Testing error: 1.99000%
Time:  379.41 sec, Epoch:   94, Testing error: 2.10000%
Time:  383.48 sec, Epoch:   95, Testing error: 2.12000%
Time:  387.55 sec, Epoch:   96, Testing error: 2.03000%
Time:  391.60 sec, Epoch:   97, Testing error: 2.11000%
Time:  395.66 sec, Epoch:   98, Testing error: 1.92000%
Time:  399.72 sec, Epoch:   99, Testing error: 1.95000%
Time:  403.77 sec, Epoch:  100, Testing error: 2.05000%
Time:  407.83 sec, Epoch:  101, Testing error: 1.98000%
Time:  411.88 sec, Epoch:  102, Testing error: 2.01000%
Time:  415.94 sec, Epoch:  103, Testing error: 2.03000%
Time:  420.02 sec, Epoch:  104, Testing error: 2.03000%
Time:  424.09 sec, Epoch:  105, Testing error: 1.96000%
Time:  428.16 sec, Epoch:  106, Testing error: 2.17000%
Time:  432.23 sec, Epoch:  107, Testing error: 2.01000%
Time:  436.29 sec, Epoch:  108, Testing error: 2.03000%
Time:  440.37 sec, Epoch:  109, Testing error: 1.90000%
Time:  444.43 sec, Epoch:  110, Testing error: 2.01000%
Time:  448.50 sec, Epoch:  111, Testing error: 2.03000%
Time:  452.56 sec, Epoch:  112, Testing error: 1.91000%
Time:  456.62 sec, Epoch:  113, Testing error: 2.00000%
Time:  460.68 sec, Epoch:  114, Testing error: 1.97000%
Time:  464.74 sec, Epoch:  115, Testing error: 1.89000%
Time:  468.80 sec, Epoch:  116, Testing error: 1.82000%
Time:  472.87 sec, Epoch:  117, Testing error: 1.89000%
