Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 4.53000%
Time:    1.93 sec, Epoch:    2, Testing error: 3.43000%
Time:    3.84 sec, Epoch:    3, Testing error: 2.88000%
Time:    5.76 sec, Epoch:    4, Testing error: 2.51000%
Time:    7.68 sec, Epoch:    5, Testing error: 2.35000%
Time:    9.59 sec, Epoch:    6, Testing error: 2.29000%
Time:   11.51 sec, Epoch:    7, Testing error: 2.25000%
Time:   13.43 sec, Epoch:    8, Testing error: 2.24000%
Time:   15.34 sec, Epoch:    9, Testing error: 2.23000%
Time:   17.26 sec, Epoch:   10, Testing error: 2.21000%
Time:   19.18 sec, Epoch:   11, Testing error: 2.16000%
Time:   21.09 sec, Epoch:   12, Testing error: 2.13000%
Time:   23.00 sec, Epoch:   13, Testing error: 2.12000%
Time:   24.92 sec, Epoch:   14, Testing error: 2.06000%
Time:   26.83 sec, Epoch:   15, Testing error: 2.04000%
Time:   28.75 sec, Epoch:   16, Testing error: 1.95000%
Time:   30.66 sec, Epoch:   17, Testing error: 1.90000%
Time:   32.58 sec, Epoch:   18, Testing error: 1.87000%
Time:   34.50 sec, Epoch:   19, Testing error: 1.87000%
Time:   36.42 sec, Epoch:   20, Testing error: 1.85000%
Time:   38.34 sec, Epoch:   21, Testing error: 1.82000%
Time:   40.26 sec, Epoch:   22, Testing error: 1.80000%
Time:   42.18 sec, Epoch:   23, Testing error: 1.77000%
Time:   44.09 sec, Epoch:   24, Testing error: 1.77000%
Time:   46.01 sec, Epoch:   25, Testing error: 1.74000%
Time:   47.92 sec, Epoch:   26, Testing error: 1.72000%
Time:   49.84 sec, Epoch:   27, Testing error: 1.73000%
Time:   51.75 sec, Epoch:   28, Testing error: 1.75000%
Time:   53.67 sec, Epoch:   29, Testing error: 1.68000%
Time:   55.58 sec, Epoch:   30, Testing error: 1.69000%
Time:   57.50 sec, Epoch:   31, Testing error: 1.69000%
Time:   59.42 sec, Epoch:   32, Testing error: 1.70000%
Time:   61.34 sec, Epoch:   33, Testing error: 1.70000%
Time:   63.25 sec, Epoch:   34, Testing error: 1.70000%
Time:   65.17 sec, Epoch:   35, Testing error: 1.69000%
Time:   67.08 sec, Epoch:   36, Testing error: 1.68000%
Time:   69.00 sec, Epoch:   37, Testing error: 1.67000%
Time:   70.92 sec, Epoch:   38, Testing error: 1.67000%
Time:   72.83 sec, Epoch:   39, Testing error: 1.67000%
Time:   74.75 sec, Epoch:   40, Testing error: 1.66000%
Time:   76.66 sec, Epoch:   41, Testing error: 1.66000%
Time:   78.58 sec, Epoch:   42, Testing error: 1.66000%
Time:   80.49 sec, Epoch:   43, Testing error: 1.65000%
Time:   82.41 sec, Epoch:   44, Testing error: 1.64000%
Time:   84.34 sec, Epoch:   45, Testing error: 1.65000%
Time:   86.25 sec, Epoch:   46, Testing error: 1.65000%
Time:   88.17 sec, Epoch:   47, Testing error: 1.65000%
Time:   90.09 sec, Epoch:   48, Testing error: 1.65000%
Time:   92.00 sec, Epoch:   49, Testing error: 1.65000%
Time:   93.92 sec, Epoch:   50, Testing error: 1.65000%
Time:   95.83 sec, Epoch:   51, Testing error: 1.64000%
Time:   97.75 sec, Epoch:   52, Testing error: 1.64000%
Time:   99.67 sec, Epoch:   53, Testing error: 1.64000%
Time:  101.59 sec, Epoch:   54, Testing error: 1.64000%
Time:  103.50 sec, Epoch:   55, Testing error: 1.63000%
Time:  105.42 sec, Epoch:   56, Testing error: 1.63000%
Time:  107.34 sec, Epoch:   57, Testing error: 1.64000%
Time:  109.26 sec, Epoch:   58, Testing error: 1.64000%
Time:  111.18 sec, Epoch:   59, Testing error: 1.64000%
Time:  113.09 sec, Epoch:   60, Testing error: 1.64000%
Time:  115.01 sec, Epoch:   61, Testing error: 1.64000%
Time:  116.92 sec, Epoch:   62, Testing error: 1.64000%
Time:  118.84 sec, Epoch:   63, Testing error: 1.64000%
Time:  120.76 sec, Epoch:   64, Testing error: 1.64000%
Time:  122.67 sec, Epoch:   65, Testing error: 1.63000%
Time:  124.59 sec, Epoch:   66, Testing error: 1.64000%
Time:  126.50 sec, Epoch:   67, Testing error: 1.64000%
Time:  128.42 sec, Epoch:   68, Testing error: 1.64000%
Time:  130.34 sec, Epoch:   69, Testing error: 1.63000%
Time:  132.26 sec, Epoch:   70, Testing error: 1.64000%
Time:  134.17 sec, Epoch:   71, Testing error: 1.63000%
Time:  136.09 sec, Epoch:   72, Testing error: 1.63000%
Time:  138.00 sec, Epoch:   73, Testing error: 1.63000%
Time:  139.92 sec, Epoch:   74, Testing error: 1.63000%
Time:  141.84 sec, Epoch:   75, Testing error: 1.63000%
Time:  143.75 sec, Epoch:   76, Testing error: 1.63000%
Time:  145.66 sec, Epoch:   77, Testing error: 1.63000%
Time:  147.58 sec, Epoch:   78, Testing error: 1.63000%
Time:  149.50 sec, Epoch:   79, Testing error: 1.63000%
Time:  151.41 sec, Epoch:   80, Testing error: 1.63000%
Time:  153.33 sec, Epoch:   81, Testing error: 1.63000%
Time:  155.25 sec, Epoch:   82, Testing error: 1.63000%
Time:  157.17 sec, Epoch:   83, Testing error: 1.63000%
Time:  159.09 sec, Epoch:   84, Testing error: 1.63000%
Time:  161.00 sec, Epoch:   85, Testing error: 1.63000%
Time:  162.92 sec, Epoch:   86, Testing error: 1.63000%
Time:  164.83 sec, Epoch:   87, Testing error: 1.63000%
Time:  166.75 sec, Epoch:   88, Testing error: 1.63000%
Time:  168.66 sec, Epoch:   89, Testing error: 1.64000%
Time:  170.58 sec, Epoch:   90, Testing error: 1.64000%
Time:  172.49 sec, Epoch:   91, Testing error: 1.64000%
Time:  174.41 sec, Epoch:   92, Testing error: 1.64000%
Time:  176.32 sec, Epoch:   93, Testing error: 1.64000%
